labels	start	stop
speech	3891.42	3894.7000000000003
noEnergy	3894.7000000000003	3895.3
speech	3895.3	3898.4
noEnergy	3898.4	3899.2400000000002
speech	3899.2400000000002	3901.4
noEnergy	3901.4	3901.84
speech	3901.84	3902.36
noEnergy	3902.36	3902.98
speech	3902.98	3903.48
noEnergy	3903.48	3904.2200000000003
speech	3904.2200000000003	3907.88
noEnergy	3907.88	3908.38
speech	3908.38	3909.12
noEnergy	3909.12	3909.6
speech	3909.6	3910.76
noEnergy	3910.76	3911.2400000000002
speech	3911.2400000000002	3911.7200000000003
noEnergy	3911.7200000000003	3912.42
speech	3912.42	3914.36
noEnergy	3914.36	3915.28
speech	3915.28	3916.82
noEnergy	3916.82	3918.7000000000003
speech	3918.7000000000003	3921.04
noEnergy	3921.04	3921.58
speech	3921.58	3923.4
noEnergy	3923.4	3924.46
speech	3924.46	3925.76
noEnergy	3925.76	3927.02
speech	3927.02	3988.14
music	3988.14	4006.54
noEnergy	4006.54	4006.96
speech	4006.96	4011.7200000000003
music	4011.7200000000003	4018.02
speech	4018.02	4027.2200000000003
music	4027.2200000000003	4045.38
speech	4045.38	4066.78
noEnergy	4066.78	4067.52
music	4067.52	4309.24
noEnergy	4309.24	4310.4800000000005
speech	4310.4800000000005	4311.4
noEnergy	4311.4	4311.96
speech	4311.96	4315.22
noEnergy	4315.22	4315.84
speech	4315.84	4317.76
noEnergy	4317.76	4318.34
speech	4318.34	4319.32
noEnergy	4319.32	4320.78
speech	4320.78	4321.14
noEnergy	4321.14	4321.56
speech	4321.56	4322.9
noEnergy	4322.9	4323.86
speech	4323.86	4326.56
noEnergy	4326.56	4327.26
speech	4327.26	4328.92
noEnergy	4328.92	4329.52
speech	4329.52	4330.3
noEnergy	4330.3	4330.7
speech	4330.7	4332.12
noEnergy	4332.12	4332.6
speech	4332.6	4333.86
noEnergy	4333.86	4334.66
speech	4334.66	4335.62
noEnergy	4335.62	4337.26
speech	4337.26	4340.22
noEnergy	4340.22	4340.7
speech	4340.7	4341.1
noEnergy	4341.1	4343.26
speech	4343.26	4343.6
noEnergy	4343.6	4345.2
speech	4345.2	4348.4
noEnergy	4348.4	4349.02
speech	4349.02	4350.2
noEnergy	4350.2	4350.88
speech	4350.88	4351.68
noEnergy	4351.68	4352.54
speech	4352.54	4353.14
noEnergy	4353.14	4353.7
speech	4353.7	4354.6
noEnergy	4354.6	4356.64
speech	4356.64	4357.52
noEnergy	4357.52	4358.56
speech	4358.56	4361.46
noEnergy	4361.46	4362.2
speech	4362.2	4362.82
noEnergy	4362.82	4363.5
speech	4363.5	4364.0
noEnergy	4364.0	4364.54
speech	4364.54	4366.22
noEnergy	4366.22	4366.62
speech	4366.62	4369.12
noEnergy	4369.12	4370.2
speech	4370.2	4372.0
noEnergy	4372.0	4372.4800000000005
speech	4372.4800000000005	4373.4400000000005
noEnergy	4373.4400000000005	4374.64
speech	4374.64	4376.9800000000005
noEnergy	4376.9800000000005	4377.58
speech	4377.58	4378.24
noEnergy	4378.24	4379.08
speech	4379.08	4381.26
noEnergy	4381.26	4382.08
speech	4382.08	4384.34
noEnergy	4384.34	4385.42
speech	4385.42	4390.26
noEnergy	4390.26	4391.56
speech	4391.56	4394.62
noEnergy	4394.62	4395.64
speech	4395.64	4397.0
noEnergy	4397.0	4398.6
speech	4398.6	4399.52
noEnergy	4399.52	4400.04
speech	4400.04	4402.78
noEnergy	4402.78	4403.38
speech	4403.38	4405.2
noEnergy	4405.2	4405.900000000001
speech	4405.900000000001	4406.88
noEnergy	4406.88	4407.5
speech	4407.5	4408.14
noEnergy	4408.14	4408.64
speech	4408.64	4409.5
noEnergy	4409.5	4410.26
speech	4410.26	4412.82
noEnergy	4412.82	4413.900000000001
speech	4413.900000000001	4414.28
noEnergy	4414.28	4415.26
music	4415.26	4519.58
speech	4519.58	4523.08
music	4523.08	4536.38
noEnergy	4536.38	4536.9400000000005
music	4536.9400000000005	4818.82
noEnergy	4818.82	4819.6
music	4819.6	4872.86
speech	4872.86	4875.34
noEnergy	4875.34	4875.84
speech	4875.84	4879.82
noEnergy	4879.82	4880.28
speech	4880.28	4881.9400000000005
noEnergy	4881.9400000000005	4882.36
speech	4882.36	4883.4400000000005
noEnergy	4883.4400000000005	4883.9800000000005
speech	4883.9800000000005	4885.54
noEnergy	4885.54	4886.64
speech	4886.64	4888.16
noEnergy	4888.16	4888.92
speech	4888.92	4890.4800000000005
noEnergy	4890.4800000000005	4891.22
speech	4891.22	4892.34
noEnergy	4892.34	4893.2
speech	4893.2	4895.72
noEnergy	4895.72	4896.32
speech	4896.32	4896.66
noEnergy	4896.66	4898.12
speech	4898.12	4901.58
noEnergy	4901.58	4902.12
speech	4902.12	4905.92
noEnergy	4905.92	4906.46
speech	4906.46	4911.0
noEnergy	4911.0	4911.72
speech	4911.72	4912.74
noEnergy	4912.74	4913.54
speech	4913.54	4915.34
noEnergy	4915.34	4915.88
speech	4915.88	4916.46
noEnergy	4916.46	4916.88
speech	4916.88	4918.22
noEnergy	4918.22	4919.32
speech	4919.32	4919.64
noEnergy	4919.64	4920.32
speech	4920.32	4922.1
noEnergy	4922.1	4922.54
speech	4922.54	4922.8
noEnergy	4922.8	4923.86
speech	4923.86	4924.42
